Pontuation ID,Total Points,Média do Dividend Yield nos últimos 5 anos > 0.06 (5%),Mediana do Dividend Yield nos últimos 5 anos > 0.06 (5%),Dividend Yield Atual > 0.06 (6%),Dívida Bruta/Patrimônio < 0.5 (50%),Pagamento constante de dividendos nos últimos 5 anos,Dividendos crescentes nos últimos 5 anos,0 < Payout < 1,Preço Atual < Preço Máximo,Segmento válido
ENJU3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
JFEN3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
EPAR3,1,2,-1,2,2,-1,1,-1,1,-4
TCNO3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
TELB4,-2,-1,-1,-1,2,-1,1,-1,-1,0
MRFG3,-5,2,-1,-1,-1,-1,1,-1,1,-4
BLUT3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
AALR3,-5,2,-1,-1,-1,-1,1,-1,1,-4
TCNO4,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
HETA4,-7,-1,-1,-1,2,-1,1,-1,-1,-4
AZEV3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
AZEV4,-7,-1,-1,-1,2,-1,1,-1,-1,-4
MOVI3,-2,2,2,-1,-1,1,-1,-1,1,-4
KRSA3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
ALPA3,-2,2,-1,-1,2,-1,1,-1,1,-4
TCSA3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
DASA3,-7,2,-1,-1,-1,-1,-1,-1,1,-4
ESTR3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
BRKM6,-5,2,-1,-1,-1,-1,1,-1,1,-4
WEST3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
GFSA3,-12,-1,-1,-1,-1,-1,-1,-1,-1,-4
CVCB3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
MMXM3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
FIEI3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
SPRI6,-7,-1,-1,-1,2,-1,1,-1,-1,-4
CTSA3,-7,2,-1,-1,-1,-1,-1,-1,1,-4
DOTZ3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
SPRI3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
IFCM3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
AZUL4,-7,-1,-1,-1,2,-1,1,-1,-1,-4
SPRI5,-7,-1,-1,-1,2,-1,1,-1,-1,-4
IDVL4,-2,-1,-1,-1,2,-1,1,-1,-1,0
AVLL3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
VIVR3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
IDVL3,-2,-1,-1,-1,2,-1,1,-1,-1,0
TRAD3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
MWET3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
